#       Timestep            Time         Nusselt            Vrms        CPU_Time
               0               0         1.01516         28.2448       0.0566299
               1     0.000144717         1.02501         28.2463        0.069114
               2     0.000289444         1.06142         47.3838        0.082346
               3     0.000369179         1.12585         72.9458        0.095587
               4     0.000419337         1.20879           96.37        0.108877
               5     0.000456704         1.30669         116.621        0.125544
