#       Timestep            Time         Nusselt            Vrms        CPU_Time
               0               0               0               0       0.0839841
               1         2.5e-05    -0.000858096               0        0.119693
               2           5e-05     -0.00120345               0        0.155098
               3         7.5e-05      0.00082414               0        0.190279
               4          0.0001      0.00560004         96.9491         0.24753
               5        0.000125       0.0118754         98.5914        0.304893
