#       Timestep            Time         Nusselt            Vrms        CPU_Time
               0               0         1.00004         13.5943       0.0731959
               1     0.000408436         1.00005         13.5776        0.100843
               2     0.000812541         1.00007         14.9123        0.128177
               3      0.00118068         1.00009         16.2391        0.155533
               4      0.00151111         1.00012         17.5852        0.183034
               5      0.00181602         1.00014         18.9411         0.21238
