#       Timestep            Time            Vrms        CPU_Time
               0               0     0.000831124        0.174232
               1         37.7664      0.00132379        0.276789
               2         69.1597      0.00203892        0.379069
               3         90.0614        0.002921        0.481628
               4         104.684      0.00398218        0.584871
               5         115.148      0.00507399        0.698987
