#       Timestep            Time         Nusselt            Vrms        CPU_Time
               0               0               1       0.0307671        0.053045
               1          0.0025         1.02502       0.0307686       0.0620632
               2           0.005         1.04373       0.0299891       0.0726562
               3          0.0075         1.05909       0.0291971        0.083405
               4            0.01         1.07247       0.0284062       0.0941582
               5          0.0125         1.08443       0.0276204        0.106819
