#       Timestep            Time         Nusselt            Vrms        CPU_Time
               0               0         1.00004         13.5672       0.0523078
               1     0.000396054         1.00005         13.5664       0.0607848
               2     0.000792099         1.00007         14.8352       0.0703568
               3       0.0011506         1.00009         16.1268        0.079901
               4      0.00147869         1.00011          17.437        0.089433
               5      0.00178171         1.00014         18.7616        0.101098
