#       Timestep            Time         Nusselt            Vrms        CPU_Time
               0               0               0               0       0.0628891
               1         2.5e-05    -0.000858096               0       0.0829082
               2           5e-05     -0.00120345               0        0.101913
               3         7.5e-05      0.00082414               0        0.121072
               4          0.0001      0.00559989           96.95        0.157719
               5        0.000125       0.0118754         98.5914         0.19137
