#       Timestep            Time         Nusselt            Vrms        CPU_Time
               0               0         1.00078         2.90051        0.232342
               1      0.00233379         1.00182         2.90052         0.24839
               2      0.00466757         1.00291         3.30811        0.484033
               3      0.00669088         1.00391         3.75348        0.718904
               4      0.00845411         1.00486         4.23616        0.957867
               5       0.0100027         1.00576         4.76049          1.1761
