#       Timestep            Time         Nusselt            Vrms        CPU_Time
               0               0               1       0.0307678        0.238944
               1          0.0025         1.02502       0.0307682        0.252437
               2           0.005         1.04373       0.0299891        0.266617
               3          0.0075         1.05909       0.0291971         0.28083
               4            0.01         1.07247       0.0284063        0.295106
               5          0.0125         1.08443       0.0276204        0.312517
