#       Timestep            Time         Nusselt            Vrms        CPU_Time
               0               0         1.00024         30.7678        0.056865
               1     0.000133482         1.00026         30.7682       0.0696452
               2     0.000266968         1.00028         33.3851       0.0831442
               3     0.000389829          1.0003         36.0718       0.0967631
               4     0.000502601         1.00033          38.899        0.110367
               5     0.000605204         1.00035         41.8165         0.12749
