#       Timestep            Time        CPU_Time
               0               0       0.0178928
               1          0.0001       0.0374908
               2          0.0002       0.0438919
               3          0.0003       0.0504348
               4          0.0004        0.056963
               5          0.0005       0.0634499
               6          0.0006       0.0698838
               7          0.0007       0.0763528
               8          0.0008       0.0829229
               9          0.0009        0.089283
              10           0.001       0.0954039
              11          0.0011        0.108741
              12          0.0012        0.115263
              13          0.0013         0.12176
              14          0.0014        0.128234
              15          0.0015         0.13473
              16          0.0016        0.140979
              17          0.0017        0.147112
              18          0.0018        0.153249
              19          0.0019        0.159408
              20           0.002        0.165581
              21          0.0021        0.178778
              22          0.0022        0.185286
              23          0.0023        0.191737
              24          0.0024        0.198236
              25          0.0025        0.204704
              26          0.0026        0.211085
              27          0.0027        0.217214
              28          0.0028        0.223343
              29          0.0029        0.229492
              30           0.003        0.235629
              31          0.0031        0.248849
              32          0.0032        0.255412
              33          0.0033        0.261877
              34          0.0034        0.268421
              35          0.0035        0.274878
              36          0.0036        0.281221
              37          0.0037        0.287381
              38          0.0038        0.293516
              39          0.0039        0.299674
              40           0.004        0.305939
              41          0.0041        0.319236
              42          0.0042        0.325784
              43          0.0043        0.332366
              44          0.0044        0.338876
              45          0.0045        0.345403
              46          0.0046        0.351811
              47          0.0047        0.358039
              48          0.0048        0.364219
              49          0.0049        0.370397
              50           0.005        0.376609
