#       Timestep            Time            Vrms        CPU_Time
               0               0     0.000831143         0.12393
               1         37.7748      0.00132225        0.183685
               2         69.1187      0.00202655         0.24211
               3         90.2524      0.00292765        0.300419
               4          104.86      0.00398236        0.359841
               5         115.291      0.00507794         0.42468
