#       Timestep            Time         Nusselt            Vrms        CPU_Time
               0               0         1.00024         30.7671       0.0513439
               1     0.000133484         1.00026         30.7686        0.059586
               2     0.000266969         1.00028         33.3852       0.0691919
               3     0.000389831          1.0003          36.072        0.079051
               4     0.000502602         1.00033         38.8992        0.088866
               5     0.000605204         1.00035         41.8166        0.100812
