#       Timestep            Time            Vrms        CPU_Time
               0               0     0.000162876       0.0855482
               1         131.897     0.000377376        0.126212
               2         188.609     0.000617797        0.166325
               3         222.146     0.000893581        0.206343
               4         241.607      0.00117879        0.246254
               5         255.477      0.00146688        0.291125
