#       Timestep            Time         Nusselt            Vrms        CPU_Time
               0               0         1.00077         2.87461        0.181915
               1      0.00235463         1.00181         2.89169        0.204748
               2      0.00469547          1.0029         3.27965        0.254766
               3      0.00673687         1.00392         3.71694        0.304837
               4       0.0085181         1.00487         4.19219        0.354751
               5       0.0100835         1.00578         4.70879        0.407625
