#       Timestep            Time         Nusselt            Vrms        CPU_Time
               0               0          1.0129         45.2778        0.192206
               1     0.000135413         1.01443         45.5869        0.219034
               2     0.000270069         1.01765         55.1366        0.279575
               3     0.000380452         1.02116         66.9742        0.340326
               4     0.000470696         1.02482         80.2847        0.401058
               5     0.000545685         1.02861         94.8831        0.465621
