#       Timestep            Time         Nusselt            Vrms        CPU_Time
               0               0         1.00004         13.5673        0.057168
               1     0.000396053         1.00005         13.5666        0.070236
               2     0.000792103         1.00007         14.8352        0.083827
               3      0.00115061         1.00009         16.1268       0.0975041
               4      0.00147869         1.00011          17.437        0.111135
               5      0.00178171         1.00014         18.7617        0.128243
