#       Timestep            Time         Nusselt            Vrms        CPU_Time
               0               0         1.00622         90.4531        0.058573
               1     5.56092e-05         1.00644         90.4529        0.073952
               2     0.000111218         1.00683         98.6125       0.0908451
               3     0.000161792         1.00722         106.824        0.107763
               4      0.00020827         1.00758         115.169        0.124592
               5      0.00025131         1.00794         123.598        0.143643
