#       Timestep            Time         Nusselt            Vrms        CPU_Time
               0               0         1.00621         90.4519       0.0679588
               1     5.56092e-05         1.00644         90.4527       0.0936949
               2     0.000111218         1.00683         98.6123         0.11943
               3     0.000161792         1.00722         106.824        0.144534
               4      0.00020827         1.00758         115.168        0.169637
               5      0.00025131         1.00794         123.598        0.198106
