#       Timestep            Time         Nusselt            Vrms        CPU_Time
               0               0         1.00004         13.5944       0.0942628
               1     0.000408436         1.00005         13.5768         0.14137
               2     0.000812563         1.00007         14.9122        0.188407
               3      0.00118071         1.00009          16.239        0.235511
               4      0.00151114         1.00012         17.5853        0.282631
               5      0.00181606         1.00014         18.9412         0.33291
