#       Timestep            Time            Vrms        CPU_Time
               0               0         0.10018       0.0865631
               1        0.350898        0.100249        0.131473
               2        0.701749        0.100176        0.176223
               3          1.0527        0.100248        0.221542
               4         1.40357        0.100027        0.266463
               5         1.75509         0.10022        0.314866
