#       Timestep            Time         Nusselt            Vrms        CPU_Time
               0               0         1.00078         2.90051         0.31404
               1      0.00233379         1.00181         2.90052        0.338352
               2      0.00466757         1.00291         3.30811        0.685016
               3      0.00669088         1.00391         3.75348         1.02957
               4      0.00845411         1.00486         4.23615         1.37347
               5       0.0100027         1.00576         4.76049         1.69284
