#       Timestep            Time         Nusselt            Vrms        CPU_Time
               0               0          1.0129         45.2778        0.147183
               1     0.000135413         1.01443         45.5869        0.164344
               2     0.000270069         1.01765         55.1367        0.205664
               3     0.000380452         1.02116         66.9742        0.247444
               4     0.000470695         1.02482         80.2846        0.289165
               5     0.000545685         1.02861          94.883        0.333366
