#       Timestep            Time            Vrms        CPU_Time
               0               0     0.000162876       0.0674531
               1         131.897     0.000377376        0.092649
               2          188.61     0.000617797        0.117164
               3         222.146     0.000893581          0.1414
               4         241.607      0.00117879        0.165708
               5         255.478      0.00146688        0.193551
