#       Timestep            Time            Vrms        CPU_Time
               0               0         0.30366        0.261559
               1       0.0969154        0.294907        0.446439
               2        0.195602        0.294554        0.521016
               3        0.294401        0.294446        0.622568
               4        0.393772        0.294602        0.697603
               5        0.493344        0.294669        0.775734
