#       Timestep            Time            Vrms        CPU_Time
               0               0         0.10018        0.069742
               1        0.350898        0.100249       0.0981011
               2        0.701749        0.100176        0.125996
               3          1.0527        0.100248        0.153737
               4         1.40357        0.100027        0.181345
               5         1.75509         0.10022         0.21146
