#       Timestep            Time         Nusselt            Vrms        CPU_Time
               0               0         1.01515         28.2458        0.053148
               1     0.000144722         1.02495         28.2432        0.061527
               2     0.000289465         1.06142         47.3839        0.071645
               3       0.0003692         1.12586         72.9485       0.0817671
               4     0.000419356          1.2088         96.3733        0.091908
               5     0.000456722         1.30671         116.625        0.104234
