#       Timestep            Time         Nusselt            Vrms        CPU_Time
               0               0         1.00077         2.87461        0.142457
               1      0.00235463         1.00181         2.89169        0.157456
               2      0.00469547         1.00291         3.27965        0.192737
               3      0.00673687         1.00392         3.71694        0.227965
               4       0.0085181         1.00487          4.1922        0.262749
               5       0.0100835         1.00578         4.70879        0.299375
